William,Dixon,109,true
Kristen,Horn,263,true
Kimberly,Chang,187,true
Mary,Ball,283,true
Benjamin,Craig,144,true
Cathy,Werner,62,false
Brandon,Bell,49,false
Paul,Farley,12,false
Sarah,Mcdaniel,152,true
Caroline,Anderson,76,false
Carl,Jones,147,true
Scott,Lee,244,true
Kaylee,Coleman,18,false
Charles,Parker,216,true
Susan,Hess,38,false
Kiara,Collier,204,true
Mr.Scott,Martinez,166,true
Christopher,Ortega,30,false
Michael,Russell,243,true
Dwayne,Johnson,287,true
Patty,Smith,180,true
Deanna,Sherman,100,false
Douglas,Francis,162,true
Vicki,Diaz,19,false
Robin,Phillips,245,true
Travis,Rice,141,true
Ashley,Rocha,50,false
Sarah,Jacobson,80,false
Kayla,Shannon,99,false
Sean,Wang,221,true
Richard,Estrada,49,false
Joseph,Torres,150,true
Kim,Jones,19,false
Melissa,Tanner,269,true
Jackson,Cline,64,false
Sonya,Foster,296,true
Allen,Williams,15,false
Mr.Thomas,Rivera,95,false
Jamie,Silva,297,true
Kathleen,Moore,93,false
Evelyn,Pineda,169,true
Kyle,Peters,107,true
Anthony,Cruz,49,false
Eric,Flores,123,true
Anna,Richardson,254,true
Gary,Harper,48,false
Linda,Johnson,115,true
Melissa,Smith,88,false
Kristen,Floyd,135,true
William,Diaz,192,true
Benjamin,Smith,135,true
David,Glenn,216,true
Dawn,Jones,272,true
Joel,Smith,14,false
Mr.Larry,Grimes,269,true
Joseph,Arnold,122,true
Kyle,Long,242,true
Brittany,Day,262,true
Bobby,Ward,64,false
Thomas,Lee,254,true
Jennifer,Hansen,101,true
Lisa,Murray,176,true
Meghan,Wade,273,true
Tammie,Brooks,85,false
Maria,Bell,264,true
Allison,Livingston,130,true
Chris,Hays,17,false
Courtney,Mitchell,79,false
Shawn,White,188,true
Taylor,Gomez,225,true
Jeremy,Rodriguez,201,true
April,Garcia,66,false
Zachary,Watts,15,false
Sarah,Montoya,207,true
Jennifer,Barker,89,false
Sharon,Garza,72,false
Tiffany,Stevens,196,true
Ruben,Armstrong,94,false
Dr.,Jeffrey,271,true
Nicole,Ramsey,248,true
